File_name;Strategy;Vertices;Edges;NbAchro;w/NValue(ms);w/oNValue(ms)
graph0;DEFAULT;6;6;4;723;300
graph0;MINDOM;6;6;4;124;135
graph0;DOMOVERWDEG;6;6;4;98;372
graph0;ACTIVITY;6;6;4;379;481
graph0;INTVAR;6;6;4;69;59
graph0;MAXCONS_RAND;6;6;4;250;167
graph1;DEFAULT;6;12;4;207;233
graph1;MINDOM;6;12;4;106;146
graph1;DOMOVERWDEG;6;12;4;157;187
graph1;ACTIVITY;6;12;4;159;199
graph1;INTVAR;6;12;4;91;69
graph1;MAXCONS_RAND;6;12;4;212;334
graph2;DEFAULT;8;16;5;2833;2582
graph2;MINDOM;8;16;5;4077;3683
graph2;DOMOVERWDEG;8;16;5;3792;4080
graph2;ACTIVITY;8;16;5;2701;3112
graph2;INTVAR;8;16;5;3984;3190
graph2;MAXCONS_RAND;8;16;5;47225;38557
graph3;DEFAULT;6;9;3;17;27
graph3;MINDOM;6;9;3;7;9
graph3;DOMOVERWDEG;6;9;3;11;8
graph3;ACTIVITY;6;9;3;18;26
graph3;INTVAR;6;9;3;5;7
graph3;MAXCONS_RAND;6;9;3;7;11
graph4;DEFAULT;7;14;3;32;39
graph4;MINDOM;7;14;3;19;16
graph4;DOMOVERWDEG;7;14;3;23;25
graph4;ACTIVITY;7;14;3;46;53
graph4;INTVAR;7;14;3;14;24
graph4;MAXCONS_RAND;7;14;3;17;24
graph5;DEFAULT;8;19;4;735;548
graph5;MINDOM;8;19;4;356;425
graph5;DOMOVERWDEG;8;19;4;186;279
graph5;ACTIVITY;8;19;4;318;342
graph5;INTVAR;8;19;4;357;352
graph5;MAXCONS_RAND;8;19;4;1110;790
graph6;DEFAULT;8;7;4;188;197
graph6;MINDOM;8;7;4;213;274
graph6;DOMOVERWDEG;8;7;4;147;29
graph6;ACTIVITY;8;7;4;63;66
graph6;INTVAR;8;7;4;212;288
graph6;MAXCONS_RAND;8;7;4;1659;1402
graph7;DEFAULT;10;9;4;355;47
graph7;MINDOM;10;9;4;1125;1418
graph7;DOMOVERWDEG;10;9;4;1419;58
graph7;ACTIVITY;10;9;4;65;86
graph7;INTVAR;10;9;4;1118;1346
graph7;MAXCONS_RAND;10;9;4;32116;34270
graph8;DEFAULT;12;11;4;757;160
graph8;MINDOM;12;11;4;5861;8690
graph8;DOMOVERWDEG;12;11;4;38659;3845
graph8;ACTIVITY;12;11;4;81;108
graph8;INTVAR;12;11;4;5685;7108
graph8;MAXCONS_RAND;12;11;4;60039;60019
graph9;DEFAULT;14;13;4;787;85
graph9;MINDOM;14;13;4;28569;32619
graph9;DOMOVERWDEG;14;13;4;79;107
graph9;ACTIVITY;14;13;4;147;199
graph9;INTVAR;14;13;4;28233;32861
graph9;MAXCONS_RAND;14;13;4;60020;60023
graph10;DEFAULT;12;11;5;14317;15884
graph10;MINDOM;12;11;5;60662;61067
graph10;DOMOVERWDEG;12;11;5;11946;49075
graph10;ACTIVITY;12;11;5;3736;4451
graph10;INTVAR;12;11;5;60682;61036
graph10;MAXCONS_RAND;12;11;5;62244;61468
graph11;DEFAULT;4;2;2;2;2
graph11;MINDOM;4;2;2;1;2
graph11;DOMOVERWDEG;4;2;2;2;2
graph11;ACTIVITY;4;2;2;2;4
graph11;INTVAR;4;2;2;2;2
graph11;MAXCONS_RAND;4;2;2;2;2
graph12;DEFAULT;10;6;4;2597;3715
graph12;MINDOM;10;6;4;4724;7858
graph12;DOMOVERWDEG;10;6;4;610;873
graph12;ACTIVITY;10;6;4;81;116
graph12;INTVAR;10;6;4;4624;7598
graph12;MAXCONS_RAND;10;6;4;60104;60199
graph13;DEFAULT;12;8;4;30505;17894
graph13;MINDOM;12;8;4;23541;37956
graph13;DOMOVERWDEG;12;8;4;13750;25195
graph13;ACTIVITY;12;8;4;884;1220
graph13;INTVAR;12;8;4;25502;39664
graph13;MAXCONS_RAND;12;8;4;60010;60016
graph14;DEFAULT;14;10;5;60188;60193
graph14;MINDOM;14;10;5;61796;63039
graph14;DOMOVERWDEG;14;10;5;60479;60594
graph14;ACTIVITY;14;10;5;4713;6232
graph14;INTVAR;14;10;5;61769;62712
graph14;MAXCONS_RAND;14;10;5;60033;60078
