File_name;Strategy;Vertices;Edges;NbAchro;w/ NValue (ms);w/o NValue (ms)
k5_minus_3_focused;DEFAULT;5;7;4;440;155
k5_minus_3_focused;MINDOM;5;7;4;52;37
k5_minus_3_focused;MAXCONSTRAINTS;5;7;4;161;116
k5_minus_3_focused;DOMOVERWDEG;5;7;4;29;28
k5_minus_3_focused;ACTIVITY;5;7;4;84;92
k5_minus_3_focused;INTVAR;5;7;4;36;48
k5_minus_3_focused;RANDOM;5;7;4;313;195
k10;DEFAULT;10;45;10;968;685
k10;MINDOM;10;45;10;190;222
k10;MAXCONSTRAINTS;10;45;10;151;239
k10;DOMOVERWDEG;10;45;10;120;452
k10;ACTIVITY;10;45;10;591;658
k10;INTVAR;10;45;10;131;111
k10;RANDOM;10;45;10;136;176
k11;DEFAULT;11;55;11;302;343
k11;MINDOM;11;55;11;165;177
k11;MAXCONSTRAINTS;11;55;11;287;234
k11;DOMOVERWDEG;11;55;11;183;234
k11;ACTIVITY;11;55;11;767;768
k11;INTVAR;11;55;11;160;175
k11;RANDOM;11;55;11;214;207
k12;DEFAULT;12;66;12;637;617
k12;MINDOM;12;66;12;250;244
k12;MAXCONSTRAINTS;12;66;12;361;324
k12;DOMOVERWDEG;12;66;12;268;305
k12;ACTIVITY;12;66;12;3528;3525
k12;INTVAR;12;66;12;293;246
k12;RANDOM;12;66;12;300;373
k13;DEFAULT;13;78;13;1452;6801
k13;MINDOM;13;78;13;342;353
k13;MAXCONSTRAINTS;13;78;13;569;1524
k13;DOMOVERWDEG;13;78;13;380;482
k13;ACTIVITY;13;78;13;1421;1465
k13;INTVAR;13;78;13;439;350
k13;RANDOM;13;78;13;447;500
k14;DEFAULT;14;91;14;26766;4574
k14;MINDOM;14;91;14;574;574
k14;MAXCONSTRAINTS;14;91;14;719;703
k14;DOMOVERWDEG;14;91;14;585;589
k14;ACTIVITY;14;91;14;6274;7493
k14;INTVAR;14;91;14;570;698
k14;RANDOM;14;91;14;1208;957
k15;DEFAULT;15;105;15;3519;3899
k15;MINDOM;15;105;15;791;897
k15;MAXCONSTRAINTS;15;105;15;1929;2036
k15;DOMOVERWDEG;15;105;15;2270;855
k15;ACTIVITY;15;105;15;9543;10113
k15;INTVAR;15;105;15;1738;1068
k15;RANDOM;15;105;15;1917;1171
k16;DEFAULT;16;120;16;38814;18675
k16;MINDOM;16;120;16;1816;2734
k16;MAXCONSTRAINTS;16;120;16;4134;1548
k16;DOMOVERWDEG;16;120;16;2151;3505
k16;ACTIVITY;16;120;16;13502;13151
k16;INTVAR;16;120;16;1276;3143
k16;RANDOM;16;120;16;1573;3451
k3;DEFAULT;3;3;3;2;1
k3;MINDOM;3;3;3;0;2
k3;MAXCONSTRAINTS;3;3;3;1;2
k3;DOMOVERWDEG;3;3;3;1;2
k3;ACTIVITY;3;3;3;1;2
k3;INTVAR;3;3;3;1;2
k3;RANDOM;3;3;3;2;1
k4;DEFAULT;4;6;4;4;3
k4;MINDOM;4;6;4;2;2
k4;MAXCONSTRAINTS;4;6;4;2;3
k4;DOMOVERWDEG;4;6;4;2;3
k4;ACTIVITY;4;6;4;2;3
k4;INTVAR;4;6;4;2;3
k4;RANDOM;4;6;4;2;73
k5;DEFAULT;5;10;5;7;6
k5;MINDOM;5;10;5;4;5
k5;MAXCONSTRAINTS;5;10;5;5;5
k5;DOMOVERWDEG;5;10;5;5;7
k5;ACTIVITY;5;10;5;5;6
k5;INTVAR;5;10;5;5;6
k5;RANDOM;5;10;5;9;7
k6;DEFAULT;6;15;6;26;16
k6;MINDOM;6;15;6;10;11
k6;MAXCONSTRAINTS;6;15;6;12;13
k6;DOMOVERWDEG;6;15;6;11;11
k6;ACTIVITY;6;15;6;9;11
k6;INTVAR;6;15;6;79;13
k6;RANDOM;6;15;6;13;12
k7;DEFAULT;7;21;7;33;34
k7;MINDOM;7;21;7;21;20
k7;MAXCONSTRAINTS;7;21;7;25;26
k7;DOMOVERWDEG;7;21;7;25;23
k7;ACTIVITY;7;21;7;85;92
k7;INTVAR;7;21;7;33;24
k7;RANDOM;7;21;7;31;25
k8;DEFAULT;8;28;8;383;288
k8;MINDOM;8;28;8;38;37
k8;MAXCONSTRAINTS;8;28;8;48;48
k8;DOMOVERWDEG;8;28;8;59;41
k8;ACTIVITY;8;28;8;100;102
k8;INTVAR;8;28;8;38;38
k8;RANDOM;8;28;8;46;46
