File_name;Strategy;Vertices;Edges;NbAchro;w/ NValue (ms);w/o NValue (ms)
k5_minus_3_focused;DEFAULT;5;7;4;0;188
k5_minus_3_focused;DOMOVERWDEG;5;7;4;0;26
k5_minus_3_focused;ACTIVITY;5;7;4;0;23
k5_minus_3_focused;INTVARMIN;5;7;4;0;18
k5_minus_3_focused;MAXCONS_RAND;5;7;4;0;19
k10;DEFAULT;10;45;10;0;1646
k10;DOMOVERWDEG;10;45;10;0;466
k10;ACTIVITY;10;45;10;0;916
k10;INTVARMIN;10;45;10;0;168
k10;MAXCONS_RAND;10;45;10;0;171
k11;DEFAULT;11;55;11;0;307
k11;DOMOVERWDEG;11;55;11;0;191
k11;ACTIVITY;11;55;11;0;773
k11;INTVARMIN;11;55;11;0;160
k11;MAXCONS_RAND;11;55;11;0;194
k12;DEFAULT;12;66;12;0;620
k12;DOMOVERWDEG;12;66;12;0;265
k12;ACTIVITY;12;66;12;0;3293
k12;INTVARMIN;12;66;12;0;248
k12;MAXCONS_RAND;12;66;12;0;258
k13;DEFAULT;13;78;13;0;2782
k13;DOMOVERWDEG;13;78;13;0;380
k13;ACTIVITY;13;78;13;0;1589
k13;INTVARMIN;13;78;13;0;339
k13;MAXCONS_RAND;13;78;13;0;974
k14;DEFAULT;14;91;14;0;44451
k14;DOMOVERWDEG;14;91;14;0;506
k14;ACTIVITY;14;91;14;0;6202
k14;INTVARMIN;14;91;14;0;545
k14;MAXCONS_RAND;14;91;14;0;576
k15;DEFAULT;15;105;15;0;4280
k15;DOMOVERWDEG;15;105;15;0;926
k15;ACTIVITY;15;105;15;0;10819
k15;INTVARMIN;15;105;15;0;1016
k15;MAXCONS_RAND;15;105;15;0;1816
k3;DEFAULT;3;3;3;0;2
k3;DOMOVERWDEG;3;3;3;0;2
k3;ACTIVITY;3;3;3;0;2
k3;INTVARMIN;3;3;3;0;1
k3;MAXCONS_RAND;3;3;3;0;2
k4;DEFAULT;4;6;4;0;3
k4;DOMOVERWDEG;4;6;4;0;2
k4;ACTIVITY;4;6;4;0;3
k4;INTVARMIN;4;6;4;0;3
k4;MAXCONS_RAND;4;6;4;0;3
