File_name;Strategy;Vertices;Edges;NbAchro;w/ NValue (ms);w/o NValue (ms)
k5_minus_3_focused;DEFAULT;5;7;4;0;178
k5_minus_3_focused;DOMOVERWDEG;5;7;4;0;27
k5_minus_3_focused;ACTIVITY;5;7;4;0;23
k5_minus_3_focused;INTVARMIN;5;7;4;0;18
k5_minus_3_focused;MAXCONS_RAND;5;7;4;0;19
k10;DEFAULT;10;45;10;0;1163
k10;DOMOVERWDEG;10;45;10;0;285
k10;ACTIVITY;10;45;10;0;822
k10;INTVARMIN;10;45;10;0;211
k10;MAXCONS_RAND;10;45;10;0;194
k11;DEFAULT;11;55;11;0;632
k11;DOMOVERWDEG;11;55;11;0;181
k11;ACTIVITY;11;55;11;0;860
k11;INTVARMIN;11;55;11;0;174
k11;MAXCONS_RAND;11;55;11;0;290
k12;DEFAULT;12;66;12;0;661
k12;DOMOVERWDEG;12;66;12;0;486
k12;ACTIVITY;12;66;12;0;3821
k12;INTVARMIN;12;66;12;0;234
k12;MAXCONS_RAND;12;66;12;0;354
k13;DEFAULT;13;78;13;0;1520
k13;DOMOVERWDEG;13;78;13;0;829
k13;ACTIVITY;13;78;13;0;1421
k13;INTVARMIN;13;78;13;0;454
k13;MAXCONS_RAND;13;78;13;0;343
k14;DEFAULT;14;91;14;0;46036
k14;DOMOVERWDEG;14;91;14;0;718
k14;ACTIVITY;14;91;14;0;6852
k14;INTVARMIN;14;91;14;0;644
k14;MAXCONS_RAND;14;91;14;0;610
k15;DEFAULT;15;105;15;0;5419
k15;DOMOVERWDEG;15;105;15;0;2185
k15;ACTIVITY;15;105;15;0;9495
k15;INTVARMIN;15;105;15;0;797
k15;MAXCONS_RAND;15;105;15;0;1464
k3;DEFAULT;3;3;3;0;16
k3;DOMOVERWDEG;3;3;3;0;0
k3;ACTIVITY;3;3;3;0;0
k3;INTVARMIN;3;3;3;0;0
k3;MAXCONS_RAND;3;3;3;0;0
k4;DEFAULT;4;6;4;0;16
k4;DOMOVERWDEG;4;6;4;0;0
k4;ACTIVITY;4;6;4;0;0
k4;INTVARMIN;4;6;4;0;0
k4;MAXCONS_RAND;4;6;4;0;0
k5;DEFAULT;5;10;5;0;15
k5;DOMOVERWDEG;5;10;5;0;0
k5;ACTIVITY;5;10;5;0;16
k5;INTVARMIN;5;10;5;0;0
k5;MAXCONS_RAND;5;10;5;0;16
k6;DEFAULT;6;15;6;0;15
k6;DOMOVERWDEG;6;15;6;0;16
k6;ACTIVITY;6;15;6;0;16
k6;INTVARMIN;6;15;6;0;15
k6;MAXCONS_RAND;6;15;6;0;0
k7;DEFAULT;7;21;7;0;31
k7;DOMOVERWDEG;7;21;7;0;32
k7;ACTIVITY;7;21;7;0;93
k7;INTVARMIN;7;21;7;0;32
k7;MAXCONS_RAND;7;21;7;0;15
k8;DEFAULT;8;28;8;0;360
k8;DOMOVERWDEG;8;28;8;0;47
k8;ACTIVITY;8;28;8;0;93
k8;INTVARMIN;8;28;8;0;32
k8;MAXCONS_RAND;8;28;8;0;46
k9;DEFAULT;9;36;9;0;188
k9;DOMOVERWDEG;9;36;9;0;62
k9;ACTIVITY;9;36;9;0;550
k9;INTVARMIN;9;36;9;0;63
k9;MAXCONS_RAND;9;36;9;0;62
k5_minus_2_linked;DEFAULT;5;8;4;0;16
k5_minus_2_linked;DOMOVERWDEG;5;8;4;0;0
k5_minus_2_linked;ACTIVITY;5;8;4;0;0
k5_minus_2_linked;INTVARMIN;5;8;4;0;0
k5_minus_2_linked;MAXCONS_RAND;5;8;4;0;16
k5_minus_2_independant;DEFAULT;5;8;3;0;31
k5_minus_2_independant;DOMOVERWDEG;5;8;3;0;16
k5_minus_2_independant;ACTIVITY;5;8;3;0;15
k5_minus_2_independant;INTVARMIN;5;8;3;0;0
k5_minus_2_independant;MAXCONS_RAND;5;8;3;0;15
contiguous-usa;DEFAULT;49;107;10;0;70368
contiguous-usa;DOMOVERWDEG;49;107;8;0;64425
contiguous-usa;ACTIVITY;49;107;10;0;94737
contiguous-usa;INTVARMIN;49;107;8;0;71476
contiguous-usa;MAXCONS_RAND;49;107;10;0;69233
myciel3.col;DEFAULT;11;20;6;0;61037
myciel3.col;DOMOVERWDEG;11;20;6;0;62249
myciel3.col;ACTIVITY;11;20;6;0;25183
myciel3.col;INTVARMIN;11;20;6;0;62453
myciel3.col;MAXCONS_RAND;11;20;6;0;60239
petersen;DEFAULT;10;15;5;0;25297
petersen;DOMOVERWDEG;10;15;5;0;30809
petersen;ACTIVITY;10;15;5;0;13429
petersen;INTVARMIN;10;15;5;0;56629
petersen;MAXCONS_RAND;10;15;5;0;60039
clebsh;DEFAULT;16;40;8;0;61479
clebsh;DOMOVERWDEG;16;40;6;0;60288
clebsh;ACTIVITY;16;40;6;0;60645
clebsh;INTVARMIN;16;40;6;0;60202
clebsh;MAXCONS_RAND;16;40;8;0;103734
graph0;DEFAULT;6;6;4;0;0
graph0;DOMOVERWDEG;6;6;4;0;0
graph0;ACTIVITY;6;6;4;0;15
graph0;INTVARMIN;6;6;4;0;0
graph0;MAXCONS_RAND;6;6;4;0;0
graph1;DEFAULT;6;12;4;0;78
graph1;DOMOVERWDEG;6;12;4;0;63
graph1;ACTIVITY;6;12;4;0;184
graph1;INTVARMIN;6;12;4;0;50
graph1;MAXCONS_RAND;6;12;4;0;151
graph2;DEFAULT;8;16;5;0;2378
graph2;DOMOVERWDEG;8;16;5;0;2956
graph2;ACTIVITY;8;16;5;0;1845
graph2;INTVARMIN;8;16;5;0;3109
graph2;MAXCONS_RAND;8;16;5;0;42332
graph3;DEFAULT;6;9;3;0;0
graph3;DOMOVERWDEG;6;9;3;0;15
graph3;ACTIVITY;6;9;3;0;94
graph3;INTVARMIN;6;9;3;0;0
graph3;MAXCONS_RAND;6;9;3;0;0
graph4;DEFAULT;7;14;3;0;31
graph4;DOMOVERWDEG;7;14;3;0;16
graph4;ACTIVITY;7;14;3;0;63
graph4;INTVARMIN;7;14;3;0;15
graph4;MAXCONS_RAND;7;14;3;0;16
graph5;DEFAULT;8;19;4;0;625
graph5;DOMOVERWDEG;8;19;4;0;135
graph5;ACTIVITY;8;19;4;0;240
graph5;INTVARMIN;8;19;4;0;276
graph5;MAXCONS_RAND;8;19;4;0;860
graph6;DEFAULT;8;7;4;0;78
graph6;DOMOVERWDEG;8;7;4;0;125
graph6;ACTIVITY;8;7;4;0;31
graph6;INTVARMIN;8;7;4;0;188
graph6;MAXCONS_RAND;8;7;4;0;1578
graph7;DEFAULT;10;9;4;0;94
graph7;DOMOVERWDEG;10;9;4;0;1343
graph7;ACTIVITY;10;9;4;0;47
graph7;INTVARMIN;10;9;4;0;984
graph7;MAXCONS_RAND;10;9;4;0;29241
graph8;DEFAULT;8;4;3;0;47
graph8;DOMOVERWDEG;8;4;3;0;15
graph8;ACTIVITY;8;4;3;0;32
graph8;INTVARMIN;8;4;3;0;62
graph8;MAXCONS_RAND;8;4;3;0;371
graph9;DEFAULT;8;7;3;0;3
graph9;DOMOVERWDEG;8;7;3;0;3
graph9;ACTIVITY;8;7;3;0;3
graph9;INTVARMIN;8;7;3;0;2
graph9;MAXCONS_RAND;8;7;3;0;3
graph10;DEFAULT;10;9;4;0;647
graph10;DOMOVERWDEG;10;9;4;0;629
graph10;ACTIVITY;10;9;4;0;328
graph10;INTVARMIN;10;9;4;0;2155
graph10;MAXCONS_RAND;10;9;4;0;33175
graph11;DEFAULT;4;2;2;0;0
graph11;DOMOVERWDEG;4;2;2;0;0
graph11;ACTIVITY;4;2;2;0;0
graph11;INTVARMIN;4;2;2;0;0
graph11;MAXCONS_RAND;4;2;2;0;0
graph12;DEFAULT;10;6;4;0;3067
graph12;DOMOVERWDEG;10;6;4;0;562
graph12;ACTIVITY;10;6;4;0;78
graph12;INTVARMIN;10;6;4;0;4092
graph12;MAXCONS_RAND;10;6;4;0;60122
graph13;DEFAULT;11;7;4;0;3642
graph13;DOMOVERWDEG;11;7;4;0;25699
graph13;ACTIVITY;11;7;4;0;154
graph13;INTVARMIN;11;7;4;0;9669
graph13;MAXCONS_RAND;11;7;4;0;60004
graph14;DEFAULT;6;3;3;0;0
graph14;DOMOVERWDEG;6;3;3;0;16
graph14;ACTIVITY;6;3;3;0;0
graph14;INTVARMIN;6;3;3;0;16
graph14;MAXCONS_RAND;6;3;3;0;15
graph15;DEFAULT;8;4;3;0;47
graph15;DOMOVERWDEG;8;4;3;0;16
graph15;ACTIVITY;8;4;3;0;16
graph15;INTVARMIN;8;4;3;0;78
graph15;MAXCONS_RAND;8;4;3;0;360
graph16;DEFAULT;10;5;3;0;703
graph16;DOMOVERWDEG;10;5;3;0;328
graph16;ACTIVITY;10;5;3;0;234
graph16;INTVARMIN;10;5;3;0;828
graph16;MAXCONS_RAND;10;5;3;0;6275
graph17;DEFAULT;5;8;3;0;16
graph17;DOMOVERWDEG;5;8;3;0;15
graph17;ACTIVITY;5;8;3;0;16
graph17;INTVARMIN;5;8;3;0;0
graph17;MAXCONS_RAND;5;8;3;0;16
graph18;DEFAULT;8;8;4;0;406
graph18;DOMOVERWDEG;8;8;4;0;250
graph18;ACTIVITY;8;8;4;0;187
graph18;INTVARMIN;8;8;4;0;672
graph18;MAXCONS_RAND;8;8;4;0;4662
graph19;DEFAULT;4;2;2;0;0
graph19;DOMOVERWDEG;4;2;2;0;0
graph19;ACTIVITY;4;2;2;0;0
graph19;INTVARMIN;4;2;2;0;0
graph19;MAXCONS_RAND;4;2;2;0;0
graph20;DEFAULT;9;16;5;0;4530
graph20;DOMOVERWDEG;9;16;5;0;12857
graph20;ACTIVITY;9;16;5;0;3464
graph20;INTVARMIN;9;16;5;0;8869
graph20;MAXCONS_RAND;9;16;5;0;60016
graph21;DEFAULT;6;7;3;0;16
graph21;DOMOVERWDEG;6;7;3;0;15
graph21;ACTIVITY;6;7;3;0;16
graph21;INTVARMIN;6;7;3;0;16
graph21;MAXCONS_RAND;6;7;3;0;0
graph22;DEFAULT;9;8;4;0;187
graph22;DOMOVERWDEG;9;8;4;0;453
graph22;ACTIVITY;9;8;4;0;47
graph22;INTVARMIN;9;8;4;0;880
graph22;MAXCONS_RAND;9;8;4;0;12568
graph23;DEFAULT;11;10;4;0;469
graph23;DOMOVERWDEG;11;10;4;0;188
graph23;ACTIVITY;11;10;4;0;78
graph23;INTVARMIN;11;10;4;0;4728
graph23;MAXCONS_RAND;11;10;4;0;60101
graph24;DEFAULT;5;5;3;0;15
graph24;DOMOVERWDEG;5;5;3;0;0
graph24;ACTIVITY;5;5;3;0;16
graph24;INTVARMIN;5;5;3;0;0
graph24;MAXCONS_RAND;5;5;3;0;15
graph25;DEFAULT;6;7;4;0;84
graph25;DOMOVERWDEG;6;7;4;0;32
graph25;ACTIVITY;6;7;4;0;62
graph25;INTVARMIN;6;7;4;0;47
graph25;MAXCONS_RAND;6;7;4;0;281
graph26;DEFAULT;5;5;3;0;0
graph26;DOMOVERWDEG;5;5;3;0;0
graph26;ACTIVITY;5;5;3;0;0
graph26;INTVARMIN;5;5;3;0;0
graph26;MAXCONS_RAND;5;5;3;0;0
graph27;DEFAULT;5;6;3;0;16
graph27;DOMOVERWDEG;5;6;3;0;0
graph27;ACTIVITY;5;6;3;0;15
graph27;INTVARMIN;5;6;3;0;0
graph27;MAXCONS_RAND;5;6;3;0;0
graph28;DEFAULT;10;9;4;0;219
graph28;DOMOVERWDEG;10;9;4;0;47
graph28;ACTIVITY;10;9;4;0;47
graph28;INTVARMIN;10;9;4;0;1343
graph28;MAXCONS_RAND;10;9;4;0;2118
graph29;DEFAULT;8;7;4;0;187
graph29;DOMOVERWDEG;8;7;4;0;47
graph29;ACTIVITY;8;7;4;0;47
graph29;INTVARMIN;8;7;4;0;500
graph29;MAXCONS_RAND;8;7;4;0;5204
graph30;DEFAULT;10;9;4;0;532
graph30;DOMOVERWDEG;10;9;4;0;234
graph30;ACTIVITY;10;9;4;0;344
graph30;INTVARMIN;10;9;4;0;7554
graph30;MAXCONS_RAND;10;9;4;0;60008
graph31;DEFAULT;5;6;2;0;0
graph31;DOMOVERWDEG;5;6;2;0;0
graph31;ACTIVITY;5;6;2;0;16
graph31;INTVARMIN;5;6;2;0;0
graph31;MAXCONS_RAND;5;6;2;0;0
graph32;DEFAULT;6;8;2;0;0
graph32;DOMOVERWDEG;6;8;2;0;0
graph32;ACTIVITY;6;8;2;0;0
graph32;INTVARMIN;6;8;2;0;0
graph32;MAXCONS_RAND;6;8;2;0;15
graph33;DEFAULT;7;10;2;0;0
graph33;DOMOVERWDEG;7;10;2;0;0
graph33;ACTIVITY;7;10;2;0;16
graph33;INTVARMIN;7;10;2;0;0
graph33;MAXCONS_RAND;7;10;2;0;0
graph34;DEFAULT;7;6;3;0;110
graph34;DOMOVERWDEG;7;6;3;0;0
graph34;ACTIVITY;7;6;3;0;15
graph34;INTVARMIN;7;6;3;0;16
graph34;MAXCONS_RAND;7;6;3;0;16
graph35;DEFAULT;5;5;3;0;0
graph35;DOMOVERWDEG;5;5;3;0;0
graph35;ACTIVITY;5;5;3;0;0
graph35;INTVARMIN;5;5;3;0;0
graph35;MAXCONS_RAND;5;5;3;0;0
